address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x00419DC0,546,0x00419FE1,sub_419DC0,,,unclassified,0.00,unknown,,false,,,,
0x00419FF0,542,0x0041A20D,sub_419FF0,,,unclassified,0.00,unknown,,false,,,,
0x0041A210,218,0x0041A2E9,sub_41A210,,,unclassified,0.00,unknown,,false,,,,
0x0041A2F0,91,0x0041A34A,sub_41A2F0,,,unclassified,0.00,unknown,,false,,,,
0x0041A350,25,0x0041A368,sub_41A350,,,unclassified,0.00,unknown,,false,,,,
0x0041ADF0,153,0x0041AE88,sub_41ADF0,,,unclassified,0.00,unknown,,false,,,,
0x0041AE90,86,0x0041AEE5,sub_41AE90,,,unclassified,0.00,unknown,,false,,,,
0x0041C1B0,16,0x0041C1BF,unknown_libname_1,,,unclassified,0.00,unknown,,false,,,,
0x0041C1C0,564,0x0041C3F3,sub_41C1C0,,,unclassified,0.00,unknown,,false,,,,
0x0041C400,521,0x0041C608,sub_41C400,,,unclassified,0.00,unknown,,false,,,,
0x0041C610,374,0x0041C785,sub_41C610,,,unclassified,0.00,unknown,,false,,,,
0x0041C790,625,0x0041CA00,sub_41C790,,,unclassified,0.00,unknown,,false,,,,
0x0041CA10,354,0x0041CB71,sub_41CA10,,,unclassified,0.00,unknown,,false,,,,
0x0041CB80,596,0x0041CDD3,sub_41CB80,,,unclassified,0.00,unknown,,false,,,,
0x0041CDE0,581,0x0041D024,sub_41CDE0,,,unclassified,0.00,unknown,,false,,,,
0x0041D050,65,0x0041D090,sub_41D050,,,unclassified,0.00,unknown,,false,,,,
0x0041D0A0,165,0x0041D144,sub_41D0A0,,,unclassified,0.00,unknown,,false,,,,
0x0041D150,35,0x0041D172,sub_41D150,,,unclassified,0.00,unknown,,false,,,,
0x0041D180,357,0x0041D2E4,sub_41D180,,,unclassified,0.00,unknown,,false,,,,
0x0041D2F0,141,0x0041D37C,sub_41D2F0,,,unclassified,0.00,unknown,,false,,,,
0x0041D380,131,0x0041D402,sub_41D380,,,unclassified,0.00,unknown,,false,,,,
0x0041D410,115,0x0041D482,sub_41D410,,,unclassified,0.00,unknown,,false,,,,
0x0041D490,591,0x0041D6DE,sub_41D490,,,unclassified,0.00,unknown,,false,,,,
0x0041D700,3268,0x0041E3C3,sub_41D700,,,unclassified,0.00,unknown,,false,,,,
0x0041E4B0,216,0x0041E587,sub_41E4B0,,,unclassified,0.00,unknown,,false,,,,
0x0041E590,508,0x0041E78B,sub_41E590,,,unclassified,0.00,unknown,,false,,,,
0x0041E790,137,0x0041E818,sub_41E790,,,unclassified,0.00,unknown,,false,,,,
0x0041E820,245,0x0041E914,sub_41E820,,,unclassified,0.00,unknown,,false,,,,
0x0041E920,312,0x0041EA57,sub_41E920,,,unclassified,0.00,unknown,,false,,,,
0x0041EA60,1037,0x0041EE6C,sub_41EA60,,,unclassified,0.00,unknown,,false,,,,
0x0041EE70,256,0x0041EF6F,sub_41EE70,,,unclassified,0.00,unknown,,false,,,,
0x0041EF70,684,0x0041F21B,sub_41EF70,,,unclassified,0.00,unknown,,false,,,,
0x0041F220,185,0x0041F2D8,sub_41F220,,,unclassified,0.00,unknown,,false,,,,
0x0041F2E0,327,0x0041F426,sub_41F2E0,,,unclassified,0.00,unknown,,false,,,,
0x0041F430,332,0x0041F57B,sub_41F430,,,unclassified,0.00,unknown,,false,,,,
0x0041F580,240,0x0041F66F,sub_41F580,,,unclassified,0.00,unknown,,false,,,,
0x0041F670,115,0x0041F6E2,sub_41F670,,,unclassified,0.00,unknown,,false,,,,
0x0041F6F0,1599,0x0041FD2E,sub_41F6F0,,,unclassified,0.00,unknown,,false,,,,
0x0041FD70,516,0x0041FF73,sub_41FD70,,,unclassified,0.00,unknown,,false,,,,
0x0041FF80,847,0x004202CE,sub_41FF80,,,unclassified,0.00,unknown,,false,,,,
0x004202D0,210,0x004203A1,sub_4202D0,,,unclassified,0.00,unknown,,false,,,,
0x004203B0,213,0x00420484,sub_4203B0,,,unclassified,0.00,unknown,,false,,,,
0x00420490,386,0x00420611,sub_420490,,,unclassified,0.00,unknown,,false,,,,
0x00420620,6840,0x004220D7,sub_420620,,,unclassified,0.00,unknown,,false,,,,
0x004220F0,114,0x00422161,sub_4220F0,,,unclassified,0.00,unknown,,false,,,,
0x00422170,2863,0x00422C9E,sub_422170,,,unclassified,0.00,unknown,,false,,,,
0x00422CA0,23,0x00422CB6,sub_422CA0,,,unclassified,0.00,unknown,,false,,,,
0x00422CC0,26,0x00422CD9,sub_422CC0,,,unclassified,0.00,unknown,,false,,,,
0x00422CE0,394,0x00422E69,sub_422CE0,,,unclassified,0.00,unknown,,false,,,,
0x00422E70,193,0x00422F30,sub_422E70,,,unclassified,0.00,unknown,,false,,,,
0x00422F40,267,0x0042304A,sub_422F40,,,unclassified,0.00,unknown,,false,,,,
0x00423050,50,0x00423081,sub_423050,,,unclassified,0.00,unknown,,false,,,,
0x00423090,522,0x00423299,sub_423090,,,unclassified,0.00,unknown,,false,,,,
0x004232A0,64,0x004232DF,sub_4232A0,,,unclassified,0.00,unknown,,false,,,,
0x004232E0,67,0x00423322,sub_4232E0,,,unclassified,0.00,unknown,,false,,,,
0x00423330,236,0x0042341B,sub_423330,,,unclassified,0.00,unknown,,false,,,,
0x00423420,225,0x00423500,sub_423420,,,unclassified,0.00,unknown,,false,,,,
0x00423510,186,0x004235C9,sub_423510,,,unclassified,0.00,unknown,,false,,,,
0x004235D0,134,0x00423655,sub_4235D0,,,unclassified,0.00,unknown,,false,,,,
0x00423660,204,0x0042372B,sub_423660,,,unclassified,0.00,unknown,,false,,,,
0x00423730,2875,0x0042426A,sub_423730,,,unclassified,0.00,unknown,,false,,,,
0x00424290,1113,0x004246E8,sub_424290,,,unclassified,0.00,unknown,,false,,,,
0x00424740,600,0x00424997,sub_424740,,,unclassified,0.00,unknown,,false,,,,
0x004249A0,600,0x00424BF7,sub_4249A0,,,unclassified,0.00,unknown,,false,,,,
0x00424C00,275,0x00424D12,sub_424C00,,,unclassified,0.00,unknown,,false,,,,
0x00424D20,223,0x00424DFE,sub_424D20,,,unclassified,0.00,unknown,,false,,,,
0x00424E00,712,0x004250C7,sub_424E00,,,unclassified,0.00,unknown,,false,,,,
0x004250D0,195,0x00425192,sub_4250D0,,,unclassified,0.00,unknown,,false,,,,
0x004251A0,356,0x00425303,sub_4251A0,,,unclassified,0.00,unknown,,false,,,,
0x00425310,231,0x004253F6,sub_425310,,,unclassified,0.00,unknown,,false,,,,
0x00425400,378,0x00425579,sub_425400,,,unclassified,0.00,unknown,,false,,,,
0x00425580,372,0x004256F3,sub_425580,,,unclassified,0.00,unknown,,false,,,,
0x00425700,403,0x00425892,sub_425700,,,unclassified,0.00,unknown,,false,,,,
0x004258A0,425,0x00425A48,sub_4258A0,,,unclassified,0.00,unknown,,false,,,,
0x00425A50,4237,0x00426ADC,sub_425A50,,,unclassified,0.00,unknown,,false,,,,
0x00426B00,289,0x00426C20,sub_426B00,,,unclassified,0.00,unknown,,false,,,,
0x00426C40,796,0x00426F5B,sub_426C40,,,unclassified,0.00,unknown,,false,,,,
0x00426F60,1703,0x00427606,sub_426F60,,,unclassified,0.00,unknown,,false,,,,
0x00427620,116,0x00427693,sub_427620,,,unclassified,0.00,unknown,,false,,,,
0x004276A0,192,0x0042775F,sub_4276A0,,,unclassified,0.00,unknown,,false,,,,
0x00427760,51,0x00427792,sub_427760,,,unclassified,0.00,unknown,,false,,,,
0x004277A0,266,0x004278A9,sub_4277A0,,,unclassified,0.00,unknown,,false,,,,
0x004278B0,91,0x0042790A,sub_4278B0,,,unclassified,0.00,unknown,,false,,,,
0x00427910,73,0x00427958,sub_427910,,,unclassified,0.00,unknown,,false,,,,
0x00427960,62,0x0042799D,sub_427960,,,unclassified,0.00,unknown,,false,,,,
0x004279A0,62,0x004279DD,sub_4279A0,,,unclassified,0.00,unknown,,false,,,,
0x004279E0,62,0x00427A1D,sub_4279E0,,,unclassified,0.00,unknown,,false,,,,
0x00427A20,74,0x00427A69,sub_427A20,,,unclassified,0.00,unknown,,false,,,,
0x00427A70,62,0x00427AAD,sub_427A70,,,unclassified,0.00,unknown,,false,,,,
0x00427AB0,48,0x00427ADF,sub_427AB0,,,unclassified,0.00,unknown,,false,,,,
0x00427AE0,65,0x00427B20,sub_427AE0,,,unclassified,0.00,unknown,,false,,,,
0x00427B21,51,0x00427B53,sub_427B21,,,unclassified,0.00,unknown,,false,,,,
0x00427B54,78,0x00427BA1,sub_427B54,,,unclassified,0.00,unknown,,false,,,,
0x00427BA2,64,0x00427BE1,sub_427BA2,,,unclassified,0.00,unknown,,false,,,,
0x00427BE2,22,0x00427BF7,sub_427BE2,,,unclassified,0.00,unknown,,false,,,,
0x00427BF8,137,0x00427C80,sub_427BF8,,,unclassified,0.00,unknown,,false,,,,
0x00427C81,136,0x00427D08,sub_427C81,,,unclassified,0.00,unknown,,false,,,,
0x00427D09,137,0x00427D91,sub_427D09,,,unclassified,0.00,unknown,,false,,,,
0x00427D92,234,0x00427E7B,sub_427D92,,,unclassified,0.00,unknown,,false,,,,
0x00427E7C,166,0x00427F21,sub_427E7C,,,unclassified,0.00,unknown,,false,,,,
0x00427F22,1899,0x0042868C,sub_427F22,,,unclassified,0.00,unknown,,false,,,,
0x0042868D,506,0x00428886,sub_42868D,,,unclassified,0.00,unknown,,false,,,,
0x00428887,658,0x00428B18,sub_428887,,,unclassified,0.00,unknown,,false,,,,
0x00428B19,3580,0x00429914,sub_428B19,,,unclassified,0.00,unknown,,false,,,,
0x00429935,195,0x004299F7,sub_429935,,,unclassified,0.00,unknown,,false,,,,
0x004299F8,62,0x00429A35,sub_4299F8,,,unclassified,0.00,unknown,,false,,,,
0x00429A36,25,0x00429A4E,sub_429A36,,,unclassified,0.00,unknown,,false,,,,
